 Flux (Janskies) at 10 Mpc and normalised flux for a model with the following parameters: 			
 Luminosity: 2.5e10 Lsun
 Mass-loss rate: 1.0e-2 Msun/yr
 Wind terminal velocity: 150.0 km/s
 Effective temperature (at optical depth 10): 33.5e3 K 
 Effective temperature (at optical depth 2/3): 14.8e3 K 
 Inner boundary: 32.0e13 cm 
 Abundances (mass fractions): H=7.064E-01,He=2.800E-01,C=5.583E-05,N=8.172E-03,O=1.319E-04,Fe=1.360E-03 
 	 Wavelength 	 Flux 	 	 Normalised Flux 
 	 (Angstrom) 	 (Jy (at 10 Mpc)) 	 
	11.6133660407	1.0092e-107	1.0
	11.6211168862	1.0092e-107	1.0
	11.6288727842	1.0092e-107	1.0
	11.6366340732	1.0092e-107	1.0
	11.6444004149	1.0092e-107	1.0
	11.6521720349	1.0092e-107	1.0
	11.6599485937	1.0092e-107	1.0
	11.6677305444	1.0092e-107	1.0
	11.6755176603	1.0092e-107	1.0
	11.6833099413	1.0092e-107	1.0
	11.6911075014	1.0092e-107	1.0
	11.6989102268	1.0092e-107	1.0
	11.7067182313	1.0092e-107	1.0
	11.7145314011	1.0092e-107	1.0
	11.7223497359	1.0092e-107	1.0
	11.7301733501	1.0092e-107	1.0
	11.7380020142	1.0092e-107	1.0
	11.7458360727	1.0092e-107	1.0
	11.753675296	1.0092e-107	1.0
	11.761519799	1.0092e-107	1.0
	11.7693695819	1.0092e-107	1.0
	11.7772242979	1.0092e-107	1.0
	11.7850847566	1.0092e-107	1.0
	11.7929500321	1.0092e-107	1.0
	11.8008208194	1.0092e-107	1.0
	11.8086966545	1.0092e-107	1.0
	11.8165777695	1.0092e-107	1.0
	11.824464281	1.0092e-107	1.0
	11.8323561896	1.0092e-107	1.0
	11.840253145	1.0092e-107	1.0
	11.8481552634	1.0092e-107	1.0
	11.8560627789	1.0092e-107	1.0
	11.863975692	1.0092e-107	1.0
	11.8718937679	1.0092e-107	1.0
	11.8798172416	1.0092e-107	1.0
	11.8877457602	1.0092e-107	1.0
	11.8956797945	1.0092e-107	1.0
	11.9036189909	1.0092e-107	1.0
	11.9115634673	1.0092e-107	1.0
	11.9195134606	1.0092e-107	1.0
