 Flux (Janskies) at 10 Mpc and normalised flux for a model with the following parameters: 
 Luminosity: 5.2e9 Lsun
 Mass-loss rate: 3.0e-3 Msun/yr
 Wind terminal velocity: 150.0 km/s
 Effective temperature (at optical depth 10): 31.9e3 K 
 Effective temperature (at optical depth 2/3): 18.2e3 K 
 Inner boundary: 16.0e13 cm 
 Abundances (mass fractions): H=7.010E-01,He=2.800E-01,C=3.026E-03,N=1.182E-03,O=9.634E-03,Fe=1.360E-03 
 	 Wavelength 	 Flux 	 	 Normalised Flux 
 	 (Angstrom) 	 (Jy (at 10 Mpc)) 	 
       10.0120729149        1.040400000e-107             1.000000000
	12.2194561099	1.0404e-107	1.0
	12.227611331	1.0404e-107	1.0
	12.2357720764	1.0404e-107	1.0
	12.2439383465	1.0404e-107	1.0
	12.2521100164	1.0404e-107	1.0
	12.2602872111	1.0404e-107	1.0
	12.26846968	1.0404e-107	1.0
	12.276657925	1.0404e-107	1.0
	12.2848513182	1.0404e-107	1.0
	12.2930503624	1.0404e-107	1.0
	12.3012548058	1.0404e-107	1.0
	12.3094647747	1.0404e-107	1.0
	12.3176802689	1.0404e-107	1.0
	12.3259011623	1.0404e-107	1.0
	12.3341274544	1.0404e-107	1.0
	12.3423593988	1.0404e-107	1.0
	12.3505966147	1.0404e-107	1.0
	12.3588396106	1.0404e-107	1.0
	12.3670878775	1.0404e-107	1.0
	12.3753417975	1.0404e-107	1.0
	12.3836012434	1.0404e-107	1.0
	12.3918662153	1.0404e-107	1.0
	12.4001365849	1.0404e-107	1.0
	12.4084124803	1.0404e-107	1.0
	12.4166937727	1.0404e-107	1.0
	12.4249808479	1.0404e-107	1.0
	12.4332734493	1.0404e-107	1.0
	12.4415714475	1.0404e-107	1.0
	12.4498751006	1.0404e-107	1.0
	12.4581841501	1.0404e-107	1.0
	12.4664988548	1.0404e-107	1.0
	12.4748192149	1.0404e-107	1.0
	12.4831448412	1.0404e-107	1.0
	12.4914761228	1.0404e-107	1.0
	12.4998130601	1.0404e-107	1.0
	12.5081556533	1.0404e-107	1.0
	12.5165035111	1.0404e-107	1.0
	12.5248571555	1.0404e-107	1.0
	12.5332163252	1.0404e-107	1.0
	12.5415811513	1.0404e-107	1.0
	12.5499513714	1.0404e-107	1.0
	12.5583272478	1.0404e-107	1.0
	12.5667089124	1.0404e-107	1.0
	12.5750958386	1.0404e-107	1.0
	12.5834886852	1.0404e-107	1.0
	12.5918869245	1.0404e-107	1.0
	12.6002908207	1.0404e-107	1.0
	12.6087003738	1.0404e-107	1.0
	12.6171154514	1.0404e-107	1.0
	12.6255361858	1.0404e-107	1.0
	12.6339625775	1.0404e-107	1.0
	12.6423946265	1.0404e-107	1.0
	12.6508323329	1.0404e-107	1.0
	12.6592755631	1.0404e-107	1.0
	12.6677244505	1.0404e-107	1.0
	12.6761788613	1.0404e-107	1.0
	12.6846389292	1.0404e-107	1.0
	12.6931049227	1.0404e-107	1.0
	12.7015763052	1.0404e-107	1.0
	12.7100533448	1.0404e-107	1.0
	12.7185363113	1.0404e-107	1.0
	12.7270245304	1.0404e-107	1.0
	12.7355185417	1.0404e-107	1.0
	12.7440186162	1.0404e-107	1.0
	12.7525239421	1.0404e-107	1.0
	12.7610350606	1.0404e-107	1.0
	12.7695518364	1.0404e-107	1.0
	12.7780742694	1.0404e-107	1.0
	12.7866023594	1.0404e-107	1.0
	12.7951362428	1.0404e-107	1.0
	12.80367592	1.0404e-107	1.0
	12.8122209807	1.0404e-107	1.0
	12.8207721091	1.0404e-107	1.0
	12.8293288947	1.0404e-107	1.0
	12.8378912	1.0404e-107	1.0
	12.8464591618	1.0404e-107	1.0
	12.8550330556	1.0404e-107	1.0
	12.8636124681	1.0404e-107	1.0
	12.872197813	1.0404e-107	1.0
	12.8807888145	1.0404e-107	1.0
	12.8893856107	1.0404e-107	1.0
	12.8979880634	1.0404e-107	1.0
	12.9065961719	1.0404e-107	1.0
	12.9152102144	1.0404e-107	1.0
	12.9238299128	1.0404e-107	1.0
	12.9324552668	1.0404e-107	1.0
	12.9410864157	1.0404e-107	1.0
	12.9497233596	1.0404e-107	1.0
	12.9583662388	1.0404e-107	1.0
	12.9670146332	1.0404e-107	1.0
	12.9756688225	1.0404e-107	1.0
	12.9843289475	1.0404e-107	1.0
	12.992994868	1.0404e-107	1.0
	13.0016664433	1.0404e-107	1.0
	13.0103438138	1.0404e-107	1.0
	13.0190269794	1.0404e-107	1.0
	13.027716082	1.0404e-107	1.0
	13.0364108384	1.0404e-107	1.0
	13.0451112482	1.0404e-107	1.0
	13.0538178792	1.0404e-107	1.0
	13.0625300214	1.0404e-107	1.0
	13.0712479588	1.0404e-107	1.0
	13.0799718338	1.0404e-107	1.0
	13.0887013613	1.0404e-107	1.0
	13.0974369696	1.0404e-107	1.0
	13.1061783734	1.0404e-107	1.0
	13.114925429	1.0404e-107	1.0
	13.1236784229	1.0404e-107	1.0
	13.1324372118	1.0404e-107	1.0
	13.1412019395	1.0404e-107	1.0
	13.149972462	1.0404e-107	1.0
	13.1587487792	1.0404e-107	1.0
	13.1675310354	1.0404e-107	1.0
	13.1763192309	1.0404e-107	1.0
	13.1851130762	1.0404e-107	1.0
	13.1939128607	1.0404e-107	1.0
	13.2027185845	1.0404e-107	1.0
	13.2115302481	1.0404e-107	1.0
	13.2203478515	1.0404e-107	1.0
	13.2291709573	1.0404e-107	1.0
	13.2380002946	1.0404e-107	1.0
	13.2468352794	1.0404e-107	1.0
	13.2556764968	1.0404e-107	1.0
	13.2645233613	1.0404e-107	1.0
	13.2733761658	1.0404e-107	1.0
	13.2822347631	1.0404e-107	1.0
	13.2910995949	1.0404e-107	1.0
	13.2999702197	1.0404e-107	1.0
	13.3088464895	1.0404e-107	1.0
	13.3177289947	1.0404e-107	1.0
	13.3266171442	1.0404e-107	1.0
	13.33551153	1.0404e-107	1.0
	13.3444118563	1.0404e-107	1.0
	13.3533178258	1.0404e-107	1.0
	13.3622300328	1.0404e-107	1.0
	13.3711480312	1.0404e-107	1.0
	13.380072119	1.0404e-107	1.0
	13.3890019979	1.0404e-107	1.0
	13.3979379662	1.0404e-107	1.0
	13.4068798748	1.0404e-107	1.0
	13.4158275736	1.0404e-107	1.0
	13.4247813622	1.0404e-107	1.0
	13.4337412413	1.0404e-107	1.0
	13.4427069097	1.0404e-107	1.0
	13.4516788196	1.0404e-107	1.0
	13.4606563675	1.0404e-107	1.0
	13.4696401572	1.0404e-107	1.0
