 Flux (Janskies) at 10 Mpc and normalised flux for a model with the following parameters: 			
 Luminosity: 1.9e8 Lsun
 Mass-loss rate: 6.75e-3 Msun/yr
 Wind terminal velocity: 150.0 km/s
 Effective temperature (at optical depth 10): 14.0e3 K 
 Effective temperature (at optical depth 2/3): 5.6e3 K 
 Inner boundary: 16.0e13 cm 
 Abundances (mass fractions): H=7.010E-01,He=2.800E-01,C=3.026E-03,N=1.182E-03,O=9.634E-03,Fe=1.360E-03 
 	 Wavelength 	 Flux 	 	 Normalised Flux 
 	 (Angstrom) 	 (Jy (at 10 Mpc)) 	 
	13.2626854516	1.0295e-107	1.0
	13.2715369772	1.0295e-107	1.0
	13.2803942956	1.0295e-107	1.0
	13.2892577008	1.0295e-107	1.0
	13.2981271936	1.0295e-107	1.0
	13.3070024793	1.0295e-107	1.0
	13.3158834097	1.0295e-107	1.0
	13.3247705756	1.0295e-107	1.0
	13.3336638302	1.0295e-107	1.0
	13.3425625803	1.0295e-107	1.0
	13.351467716	1.0295e-107	1.0
	13.3603786436	1.0295e-107	1.0
	13.3692952135	1.0295e-107	1.0
	13.3782180214	1.0295e-107	1.0
	13.3871467697	1.0295e-107	1.0
	13.3960813086	1.0295e-107	1.0
	13.4050220869	1.0295e-107	1.0
	13.4139686557	1.0295e-107	1.0
	13.4229211643	1.0295e-107	1.0
	13.4318797633	1.0295e-107	1.0
	13.4408441517	1.0295e-107	1.0
	13.4498147812	1.0295e-107	1.0
	13.4587913509	1.0295e-107	1.0
	13.4677737092	1.0295e-107	1.0
	13.4767621583	1.0295e-107	1.0
	13.4857566987	1.0295e-107	1.0
	13.4947571785	1.0295e-107	1.0
	13.5037635978	1.0295e-107	1.0
	13.5127762608	1.0295e-107	1.0
	13.5217947109	1.0295e-107	1.0
	13.5308192524	1.0295e-107	1.0
	13.5398498859	1.0295e-107	1.0
	13.5488863055	1.0295e-107	1.0
	13.5579288165	1.0295e-107	1.0
	13.5669775728	1.0295e-107	1.0
	13.5760322678	1.0295e-107	1.0
	13.5850930552	1.0295e-107	1.0
	13.5941597808	1.0295e-107	1.0
	13.6032325984	1.0295e-107	1.0
	13.6123115085	1.0295e-107	1.0
	13.6213965111	1.0295e-107	1.0
	13.6304874512	1.0295e-107	1.0
	13.6395844837	1.0295e-107	1.0
	13.6486879192	1.0295e-107	1.0
	13.6577969814	1.0295e-107	1.0
	13.6669122914	1.0295e-107	1.0
	13.6760338499	1.0295e-107	1.0
	13.6851610329	1.0295e-107	1.0
	13.6942946205	1.0295e-107	1.0
	13.7034343007	1.0295e-107	1.0
	13.7125800733	1.0295e-107	1.0
	13.7217319386	1.0295e-107	1.0
	13.7308897391	1.0295e-107	1.0
	13.7400541039	1.0295e-107	1.0
	13.749224089	1.0295e-107	1.0
	13.7584004815	1.0295e-107	1.0
	13.7675829666	1.0295e-107	1.0
	13.7767715439	1.0295e-107	1.0
	13.7859663721	1.0295e-107	1.0
	13.7951671341	1.0295e-107	1.0
	13.8043739879	1.0295e-107	1.0
	13.8135872517	1.0295e-107	1.0
	13.8228064483	1.0295e-107	1.0
	13.8320318962	1.0295e-107	1.0
	13.8412635958	1.0295e-107	1.0
	13.8505010672	1.0295e-107	1.0
	13.8597452703	1.0295e-107	1.0
	13.8689952448	1.0295e-107	1.0
	13.8782514709	1.0295e-107	1.0
	13.8875137882	1.0295e-107	1.0
	13.8967825184	1.0295e-107	1.0
	13.90605734	1.0295e-107	1.0
	13.9153384137	1.0295e-107	1.0
	13.9246254169	1.0295e-107	1.0
	13.9339188338	1.0295e-107	1.0
	13.9432186655	1.0295e-107	1.0
	13.9525242634	1.0295e-107	1.0
	13.961836276	1.0295e-107	1.0
	13.9711545414	1.0295e-107	1.0
	13.9804788965	1.0295e-107	1.0
	13.9898098306	1.0295e-107	1.0
	13.999146528	1.0295e-107	1.0
	14.0084894777	1.0295e-107	1.0
	14.0178388436	1.0295e-107	1.0
	14.0271944623	1.0295e-107	1.0
	14.0365563341	1.0295e-107	1.0
	14.0459244589	1.0295e-107	1.0
	14.0552986717	1.0295e-107	1.0
	14.0646794671	1.0295e-107	1.0
	14.0740663506	1.0295e-107	1.0
	14.083459487	1.0295e-107	1.0
	14.0928588763	1.0295e-107	1.0
	14.1022645184	1.0295e-107	1.0
	14.1116764132	1.0295e-107	1.0
	14.1210947266	1.0295e-107	1.0
	14.1305189601	1.0295e-107	1.0
	14.1399499456	1.0295e-107	1.0
	14.1493870172	1.0295e-107	1.0
	14.1588303413	1.0295e-107	1.0
	14.1682800848	1.0295e-107	1.0
	14.1777360808	1.0295e-107	1.0
	14.1871983293	1.0295e-107	1.0
	14.1966669977	1.0295e-107	1.0
	14.2061420865	1.0295e-107	1.0
	14.2156232591	1.0295e-107	1.0
	14.2251110209	1.0295e-107	1.0
	14.2346048659	1.0295e-107	1.0
	14.2441051315	1.0295e-107	1.0
	14.2536116486	1.0295e-107	1.0
	14.2631245866	1.0295e-107	1.0
	14.2726439456	1.0295e-107	1.0
	14.282169726	1.0295e-107	1.0
	14.2917017576	1.0295e-107	1.0
	14.3012400401	1.0295e-107	1.0
	14.3107845732	1.0295e-107	1.0
	14.3203356981	1.0295e-107	1.0
