 Flux (Janskies) at 10 Mpc and normalised flux for a model with the following parameters: 			
 Luminosity: 1.9e8 Lsun
 Mass-loss rate: 3.0e-3 Msun/yr
 Wind terminal velocity: 150.0 km/s
 Effective temperature (at optical depth 10): 14.0e3 K 
 Effective temperature (at optical depth 2/3): 8.2e3 K 
 Inner boundary: 16.0e13 cm 
 Abundances (mass fractions): H=7.064E-01,He=2.800E-01,C=5.583E-05,N=8.172E-03,O=1.319E-04,Fe=1.360E-03 
 	 Wavelength 	 Flux 	 	 Normalised Flux 
 	 (Angstrom) 	 (Jy (at 10 Mpc)) 	 
	12.5147692075	1.0221e-107	1.0
	12.5231217133	1.0221e-107	1.0
	12.5314796135	1.0221e-107	1.0
	12.5398431699	1.0221e-107	1.0
	12.5482122513	1.0221e-107	1.0
	12.5565871205	1.0221e-107	1.0
	12.5649675149	1.0221e-107	1.0
	12.5733534344	1.0221e-107	1.0
	12.5817450106	1.0221e-107	1.0
	12.5901421115	1.0221e-107	1.0
	12.598544737	1.0221e-107	1.0
	12.6069531516	1.0221e-107	1.0
	12.6153672236	1.0221e-107	1.0
	12.623786687	1.0221e-107	1.0
	12.6322119405	1.0221e-107	1.0
	12.6406427179	1.0221e-107	1.0
	12.6490792859	1.0221e-107	1.0
	12.6575212444	1.0221e-107	1.0
	12.6659691273	1.0221e-107	1.0
	12.6744222662	1.0221e-107	1.0
	12.682881196	1.0221e-107	1.0
	12.6913459173	1.0221e-107	1.0
	12.6998161616	1.0221e-107	1.0
	12.7082923325	1.0221e-107	1.0
	12.7167737569	1.0221e-107	1.0
	12.7252611082	1.0221e-107	1.0
	12.733753982	1.0221e-107	1.0
	12.7422526482	1.0221e-107	1.0
	12.7507567008	1.0221e-107	1.0
	12.7592666817	1.0221e-107	1.0
	12.7677824558	1.0221e-107	1.0
	12.7763037515	1.0221e-107	1.0
	12.7848307044	1.0221e-107	1.0
	12.7933633141	1.0221e-107	1.0
	12.8019017175	1.0221e-107	1.0
	12.810445778	1.0221e-107	1.0
	12.8189956323	1.0221e-107	1.0
	12.8275508694	1.0221e-107	1.0
	12.8361123122	1.0221e-107	1.0
	12.8446792748	1.0221e-107	1.0
	12.8532518941	1.0221e-107	1.0
	12.8618300321	1.0221e-107	1.0
	12.8704142403	1.0221e-107	1.0
	12.8790039671	1.0221e-107	1.0
	12.8875993498	1.0221e-107	1.0
	12.8962006656	1.0221e-107	1.0
	12.9048077765	1.0221e-107	1.0
	12.9134206827	1.0221e-107	1.0
	12.9220389665	1.0221e-107	1.0
	12.9306633236	1.0221e-107	1.0
	12.9392933366	1.0221e-107	1.0
	12.9479290049	1.0221e-107	1.0
	12.9565704681	1.0221e-107	1.0
	12.9652178667	1.0221e-107	1.0
	12.97387078	1.0221e-107	1.0
	12.9825297693	1.0221e-107	1.0
	12.9911944136	1.0221e-107	1.0
	12.9998648532	1.0221e-107	1.0
	13.0085410882	1.0221e-107	1.0
	13.0172231187	1.0221e-107	1.0
	13.0259106617	1.0221e-107	1.0
	13.0346044245	1.0221e-107	1.0
	13.0433038412	1.0221e-107	1.0
	13.0520089113	1.0221e-107	1.0
	13.0607199185	1.0221e-107	1.0
	13.0694367211	1.0221e-107	1.0
	13.0781593189	1.0221e-107	1.0
	13.0868878546	1.0221e-107	1.0
	13.0956221856	1.0221e-107	1.0
	13.1043620255	1.0221e-107	1.0
	13.11310809	1.0221e-107	1.0
	13.1218598062	1.0221e-107	1.0
	13.1306176047	1.0221e-107	1.0
	13.1393809106	1.0221e-107	1.0
	13.1481502992	1.0221e-107	1.0
	13.1569254828	1.0221e-107	1.0
	13.1657064609	1.0221e-107	1.0
	13.1744933783	1.0221e-107	1.0
	13.183286235	1.0221e-107	1.0
	13.1920847413	1.0221e-107	1.0
	13.2008891869	1.0221e-107	1.0
	13.209699572	1.0221e-107	1.0
	13.2185157511	1.0221e-107	1.0
	13.227337724	1.0221e-107	1.0
	13.2361659284	1.0221e-107	1.0
	13.244999927	1.0221e-107	1.0
	13.2538395728	1.0221e-107	1.0
	13.2626854516	1.0221e-107	1.0
	13.2715369772	1.0221e-107	1.0
	13.2803942956	1.0221e-107	1.0
	13.2892577008	1.0221e-107	1.0
	13.2981271936	1.0221e-107	1.0
	13.3070024793	1.0221e-107	1.0
	13.3158834097	1.0221e-107	1.0
	13.3247705756	1.0221e-107	1.0
	13.3336638302	1.0221e-107	1.0
	13.3425625803	1.0221e-107	1.0
	13.351467716	1.0221e-107	1.0
	13.3603786436	1.0221e-107	1.0
	13.3692952135	1.0221e-107	1.0
	13.3782180214	1.0221e-107	1.0
	13.3871467697	1.0221e-107	1.0
	13.3960813086	1.0221e-107	1.0
	13.4050220869	1.0221e-107	1.0
	13.4139686557	1.0221e-107	1.0
	13.4229211643	1.0221e-107	1.0
	13.4318797633	1.0221e-107	1.0
	13.4408441517	1.0221e-107	1.0
	13.4498147812	1.0221e-107	1.0
	13.4587913509	1.0221e-107	1.0
	13.4677737092	1.0221e-107	1.0
	13.4767621583	1.0221e-107	1.0
	13.4857566987	1.0221e-107	1.0
	13.4947571785	1.0221e-107	1.0
	13.5037635978	1.0221e-107	1.0
	13.5127762608	1.0221e-107	1.0
	13.5217947109	1.0221e-107	1.0
	13.5308192524	1.0221e-107	1.0
	13.5398498859	1.0221e-107	1.0
	13.5488863055	1.0221e-107	1.0
	13.5579288165	1.0221e-107	1.0
	13.5669775728	1.0221e-107	1.0
	13.5760322678	1.0221e-107	1.0
	13.5850930552	1.0221e-107	1.0
	13.5941597808	1.0221e-107	1.0
	13.6032325984	1.0221e-107	1.0
	13.6123115085	1.0221e-107	1.0
	13.6213965111	1.0221e-107	1.0
	13.6304874512	1.0221e-107	1.0
	13.6395844837	1.0221e-107	1.0
	13.6486879192	1.0221e-107	1.0
	13.6577969814	1.0221e-107	1.0
	13.6669122914	1.0221e-107	1.0
	13.6760338499	1.0221e-107	1.0
	13.6851610329	1.0221e-107	1.0
	13.6942946205	1.0221e-107	1.0
	13.7034343007	1.0221e-107	1.0
	13.7125800733	1.0221e-107	1.0
	13.7217319386	1.0221e-107	1.0
