#wavelength    flux
4761.479726    6.72093014e-15
4763.78626    6.580064694e-15
4766.092794    6.573381542e-15
4768.399329    6.601180278e-15
4770.705863    6.666350494e-15
4773.012397    6.630880107e-15
4775.318931    6.513648935e-15
4777.625465    6.425087689e-15
4779.932    6.464324033e-15
4782.238534    6.457875499e-15
4784.545068    6.480583378e-15
4786.851602    6.510961183e-15
4789.158136    6.525390166e-15
4791.464671    6.544083669e-15
4793.771205    6.513574754e-15
4796.077739    6.507854225e-15
4798.384273    6.476161872e-15
4800.690807    6.43109804e-15
4802.997342    6.398524145e-15
4805.303876    6.436338983e-15
4807.61041    6.48513427e-15
4809.916944    6.358004305e-15
4812.223478    6.26913081e-15
4814.530013    6.362123914e-15
4816.836547    6.38452472e-15
4819.143081    6.383144616e-15
4821.449615    6.360288376e-15
4823.756149    6.330880094e-15
4826.062684    6.429824894e-15
4828.369218    6.502568428e-15
4830.675752    6.442840996e-15
4832.982286    6.409425238e-15
4835.28882    6.429502295e-15
4837.595355    6.529456296e-15
4839.901889    6.456969806e-15
4842.208423    6.352615e-15
4844.514957    6.45315727e-15
4846.821491    6.454107817e-15
4849.128026    6.473931279e-15
4851.43456    6.487420066e-15
4853.741094    6.296258471e-15
4856.047628    6.308831214e-15
4858.354162    6.401933001e-15
4860.660697    6.483086541e-15
4862.967231    6.586428696e-15
4865.273765    6.507053765e-15
4867.580299    6.46275244e-15
4869.886833    6.653896785e-15
4872.193368    6.905993403e-15
4874.499902    6.89949829e-15
4876.806436    6.989517271e-15
4879.11297    7.19498364e-15
4881.419504    7.164333265e-15
4883.726039    6.998232625e-15
4886.032573    6.723438478e-15
4888.339107    6.523311385e-15
4890.645641    6.416311955e-15
4892.952175    6.388169918e-15
4895.25871    6.419608678e-15
4897.565244    6.277338976e-15
4899.871778    6.137948516e-15
4902.178312    6.104430975e-15
4904.484846    6.092073873e-15
4906.791381    6.069868007e-15
4909.097915    6.084619589e-15
4911.404449    6.007314812e-15
4913.710983    6.035763922e-15
4916.017517    6.186886988e-15
4918.324052    6.113249837e-15
4920.630586    6.026094572e-15
4922.93712    5.961498824e-15
4925.243654    6.013318263e-15
4927.550188    6.046671916e-15
4929.856723    6.084928387e-15
4932.163257    5.988797273e-15
4934.469791    5.906958856e-15
4936.776325    5.826693758e-15
4939.082859    5.91799451e-15
4941.389394    6.00495656e-15
4943.695928    5.999401644e-15
