"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","75164","2016-04-10 02:11:04.00","2457488.5910185","","ESO-NTT","EFOSC2-NTT","Johansson/Magee/Bar","Johansson/Magee/Bar","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","SN2016X_2016-04-10_02-11-04_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.csv","SN2016X_2016-04-10_02-11-04_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","900","","","","","","","","3336.7178","7458.512","4.0769477744807","","","Released as part of DR3","WIS_Bot1","2023-05-04 14:04:01"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","75163","2016-04-10 02:26:53.00","2457488.6020023","","ESO-NTT","EFOSC2-NTT","Johansson/Magee/Bar","Johansson/Magee/Bar","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","SN2016X_2016-04-10_02-26-53_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.csv","SN2016X_2016-04-10_02-26-53_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","900","","","","","","","","5984.605","9982.635","4.2084526315789","","","Released as part of DR3","WIS_Bot1","2023-05-04 14:04:01"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","51849","2016-04-26 22:07:40.00","2457505.422","","NOT","ALFOSC","Unknown","","","Y","","","2016X_2457505.422_NOT_ALFOSC_None.dat","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3800.748","9649.451","8.0339326923077","","2019ApJ...873L...3B","","Dr Subhash Bose","2019-05-11 19:43:02"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","51850","2016-05-20 23:39:50.00","2457529.486","","NOT","ALFOSC","Unknown","","","Y","","","2016X_2457529.486_NOT_ALFOSC_None.dat","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","4000.14","9299.172","3.0332180881511","","2019ApJ...873L...3B","","Dr Subhash Bose","2019-05-11 19:43:02"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","51851","2016-05-26 00:04:19.00","2457534.5029977","","TNG","DOLORES","Unknown","","","Y","","","2016X_2016-05-26_00-04-19.00_TNG_DOLORES_None.dat","","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3926.62","10414.38","3.1326702076292","","2019ApJ...873L...3B","","Dr Subhash Bose","2019-05-11 19:43:02"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","51852","2016-06-10 03:01:26.00","2457549.626","","LCO-duPont","BC-duPont","Unknown","","","Y","","","2016X_2457549.626_LCO-duPont_BC-duPont_None.dat","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3650","9798.087","1.9129082140635","","2019ApJ...873L...3B","","Dr Subhash Bose","2019-05-11 19:43:02"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","51853","2016-07-13 21:17:16.00","2457583.387","","GTC","OSIRIS","Unknown","","","Y","","","2016X_2457583.387_GTC_OSIRIS_None.dat","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","5004.153","10506.59","5.9679360086768","","2019ApJ...873L...3B","","Dr Subhash Bose","2019-05-11 19:43:02"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","51854","2016-08-01 00:17:16.00","2457601.5119907","","LCO-duPont","BC-duPont","Unknown","","","Y","","","2016X_2016-08-01_00-17-16.00_LCO-duPont_BC-duPont_None.dat","","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3717.219","9812.234","1.9184812716399","","2019ApJ...873L...3B","","Dr Subhash Bose","2019-05-11 19:43:02"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","51855","2016-12-24 08:08:09.00","2457746.839","","Magellan-Clay","LDSS-3","Unknown","","","Y","","","2016X_2457746.839_Magellan-Clay_LDSS-3_None.dat","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3798.928","9283.126","1.8653734693878","","2019ApJ...873L...3B","","Dr Subhash Bose","2019-05-11 19:43:02"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","51856","2017-05-03 23:34:04.00","2457877.482","","GTC","OSIRIS","Unknown","","","Y","","","2016X_2457877.482_GTC_OSIRIS_None.dat","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3500.157","8793.441","3.3145172197871","","2019ApJ...873L...3B","","Dr Subhash Bose","2019-05-11 19:43:02"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","51857","2018-01-28 04:04:48.00","2458146.67","","GTC","OSIRIS","Unknown","","","Y","","","2016X_2458146.67_GTC_OSIRIS_None.dat","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3400.384","8788.264","3.3013970588235","","2019ApJ...873L...3B","","Dr Subhash Bose","2019-05-11 19:43:02"
