#wavelength f_lam e_lam telcor
3682.1999999999916 5.628145560257347e-13 8.659799899827597e-16 1.0
3682.8999999999915 5.615520123947333e-13 8.461820751757743e-16 1.0
3683.5999999999913 5.597016857399835e-13 8.812775623588656e-16 1.0
3684.299999999991 5.609896844913257e-13 8.723385255868352e-16 1.0
3684.999999999991 5.635040754551502e-13 8.637339913375481e-16 1.0
3685.6999999999907 5.62237694298901e-13 8.680747350375754e-16 1.0
3686.3999999999905 5.597448896731571e-13 8.292232207137507e-16 1.0
3687.0999999999904 5.657454868970614e-13 8.487285662614357e-16 1.0
3687.79999999999 5.639143564309452e-13 8.230289538387349e-16 1.0
3688.49999999999 5.594436563753858e-13 8.516367349690975e-16 1.0
3689.19999999999 5.606916141634347e-13 8.409906860346174e-16 1.0
3689.8999999999896 5.600363707362915e-13 8.83517106505764e-16 1.0
3690.5999999999894 5.583443969102504e-13 8.817607056463297e-16 1.0
3691.2999999999893 5.562581680268347e-13 8.379446720332064e-16 1.0
3691.999999999989 5.578715031806459e-13 8.505379529659507e-16 1.0
3692.699999999989 5.580123166697116e-13 8.182975160886143e-16 1.0
3693.3999999999887 5.624903358875168e-13 8.446534352988868e-16 1.0
3694.0999999999885 5.609798695101716e-13 8.244613579379742e-16 1.0
3694.7999999999884 5.578445153274638e-13 8.591702736044856e-16 1.0
3695.499999999988 5.574199954705073e-13 8.521265755380172e-16 1.0
3696.199999999988 5.581301283049019e-13 8.44183705048461e-16 1.0
3696.899999999988 5.587792553794196e-13 8.4914808746700555e-16 1.0
3697.5999999999876 5.576694340111146e-13 8.125976401249053e-16 1.0
3698.2999999999874 5.56828301758436e-13 8.313041265125883e-16 1.0
3698.9999999999873 5.552349247082796e-13 8.060565497309997e-16 1.0
3699.699999999987 5.542069542630347e-13 8.365822216818717e-16 1.0
3700.399999999987 5.575866675526364e-13 8.25824195267918e-16 1.0
3701.0999999999867 5.545512636920801e-13 8.479394696149065e-16 1.0
3701.7999999999865 5.502662081618087e-13 8.440592058224406e-16 1.0
3702.4999999999864 5.482414087237484e-13 8.025107036688077e-16 1.0
3703.199999999986 5.500209769942971e-13 8.148999552146805e-16 1.0
3703.899999999986 5.534419632057578e-13 7.873646468612455e-16 1.0
3704.599999999986 5.503947076013695e-13 8.090370114141722e-16 1.0
3705.2999999999856 5.572212861506323e-13 7.94036904823712e-16 1.0
3705.9999999999854 5.555061151676524e-13 8.294859971986189e-16 1.0
3706.6999999999853 5.471346916767435e-13 8.204261102870864e-16 1.0
3707.399999999985 5.530971760861766e-13 8.104667235441026e-16 1.0
3708.099999999985 5.492790180302706e-13 8.143095631116962e-16 1.0
3708.7999999999847 5.527236252703652e-13 7.815248429209027e-16 1.0
3709.4999999999845 5.534384116344992e-13 8.011393371023235e-16 1.0
3710.1999999999844 5.448057481176371e-13 7.752353325022778e-16 1.0
3710.899999999984 5.463524392459425e-13 8.059280561570851e-16 1.0
3711.599999999984 5.46621150076198e-13 7.945149107560856e-16 1.0
3712.299999999984 5.4599814289985e-13 8.181110792844504e-16 1.0
3712.9999999999836 5.442227739087863e-13 8.17812451013773e-16 1.0
3713.6999999999834 5.427425242951383e-13 7.789037741206692e-16 1.0
3714.3999999999833 5.431467077313672e-13 7.908556212656308e-16 1.0
3715.099999999983 5.448807762557922e-13 7.63375192981723e-16 1.0
3715.799999999983 5.45887293073324e-13 7.881568810844736e-16 1.0
3716.4999999999827 5.444289728098523e-13 7.7110649775096245e-16 1.0
3717.1999999999825 5.419077296893874e-13 8.058669655813877e-16 1.0
3717.8999999999824 5.424514325542867e-13 8.004551235132525e-16 1.0
3718.599999999982 5.427518521624632e-13 7.794737289026976e-16 1.0
3719.299999999982 5.498806814100333e-13 7.876820582999937e-16 1.0
3719.999999999982 5.530029621837429e-13 7.566360206924023e-16 1.0
3720.6999999999816 5.431703636700136e-13 7.698496370503259e-16 1.0
3721.3999999999814 5.44671059507124e-13 7.504155110018828e-16 1.0
3722.0999999999813 5.478748720724905e-13 7.808118343892068e-16 1.0
3722.799999999981 5.410586284271087e-13 7.702579341826968e-16 1.0
3723.499999999981 5.363460557012261e-13 7.8638489499975405e-16 1.0
3724.1999999999807 5.398736373852279e-13 7.89666851695491e-16 1.0
3724.8999999999805 5.373932028861003e-13 7.529443011160871e-16 1.0
3725.5999999999804 5.328195321381046e-13 7.6359253168721e-16 1.0
3726.29999999998 5.345471893426748e-13 7.383085971524352e-16 1.0
3726.99999999998 5.469186351735503e-13 7.651183618719037e-16 1.0
3727.69999999998 5.456069379956899e-13 7.515111687374389e-16 1.0
3728.3999999999796 5.315539014325809e-13 7.819335351695695e-16 1.0
3729.0999999999794 5.262840496987521e-13 7.789444274172202e-16 1.0
3729.7999999999793 5.302839944140562e-13 7.576194334506691e-16 1.0
3730.499999999979 5.359594169313038e-13 7.642497422230693e-16 1.0
3731.199999999979 5.299259948607465e-13 7.325287268037559e-16 1.0
3731.8999999999787 5.24090941536021e-13 7.503888687668926e-16 1.0
3732.5999999999785 5.296457670141676e-13 7.327705358640252e-16 1.0
3733.2999999999784 5.360199683715032e-13 7.597006237588403e-16 1.0
3733.999999999978 5.362749935452452e-13 7.012715422845808e-16 1.0
3734.699999999978 5.350387257929262e-13 5.562003141739566e-16 1.0
3735.399999999978 5.173325480543886e-13 5.539524544467334e-16 1.0
3736.0999999999776 4.944180496232137e-13 5.10170391098225e-16 1.0
3736.7999999999774 5.265831307373708e-13 5.401295979984253e-16 1.0
3737.4999999999773 5.310152415257306e-13 6.115252625454735e-16 1.0
3738.199999999977 5.287679481447287e-13 7.386175417529087e-16 1.0
3738.899999999977 5.305062828575344e-13 7.273974766692099e-16 1.0
3739.5999999999767 5.310451295186505e-13 7.616898247470787e-16 1.0
3740.2999999999765 5.269467381737998e-13 7.578254419463963e-16 1.0
3740.9999999999764 5.26575879441351e-13 7.3179935884018e-16 1.0
3741.699999999976 5.277268565853938e-13 7.394941034352125e-16 1.0
3742.399999999976 5.277642562002016e-13 7.09323931425696e-16 1.0
3743.099999999976 5.337667247287648e-13 7.305051399691737e-16 1.0
3743.7999999999756 5.307139076670263e-13 7.108182749348191e-16 1.0
3744.4999999999754 5.232108525626951e-13 7.358535361080036e-16 1.0
3745.1999999999753 5.363632283685773e-13 7.325694520539818e-16 1.0
3745.899999999975 5.38769183172368e-13 7.4079004888386895e-16 1.0
3746.599999999975 5.253666159568439e-13 7.392030998793212e-16 1.0
3747.2999999999747 5.232571045997335e-13 7.042056692609944e-16 1.0
3747.9999999999745 5.307378551268985e-13 7.195546793721998e-16 1.0
3748.6999999999744 5.385380165439583e-13 6.964791912991946e-16 1.0
3749.399999999974 5.390004393917234e-13 7.225490600071963e-16 1.0
3750.099999999974 5.297775070725269e-13 7.08456911057571e-16 1.0
3750.799999999974 5.224857966911013e-13 7.407744110283695e-16 1.0
3751.4999999999736 5.212065882265807e-13 7.390287137959867e-16 1.0
3752.1999999999734 5.226172001423271e-13 7.090734308262438e-16 1.0
3752.8999999999733 5.251218034411485e-13 7.189326411028372e-16 1.0
3753.599999999973 5.226141685670698e-13 6.90365076897081e-16 1.0
