# INSTRUMENT_ID: 
# OBS_GROUP_ID: 
# UNIT_ID: None
# RA: 210.91065416666663
# DEC: 54.311674999999994
# OBS_DATE: 2023-05-22 05:51:15.495188
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 131959
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

#wavelength flux fluxerr
3.799866385476584583e+03 4.081003002170645513e-13 3.196946006063281259e-14
3.800433483403300670e+03 4.105320771155725827e-13 3.202070316682849839e-14
3.801000581330018576e+03 4.028769303569258905e-13 3.167235310175155031e-14
3.801567679256734664e+03 4.062409143704024999e-13 3.178155019915769520e-14
3.802134777183450751e+03 4.059912404168728751e-13 3.170514606026007599e-14
3.802701875110168658e+03 4.065862661475027928e-13 3.167888976924156384e-14
3.803268973036884745e+03 4.100826802115269328e-13 3.176712749056429864e-14
3.803836070963601742e+03 4.072677424709654655e-13 3.163061749858481438e-14
3.804403168890318739e+03 3.988858452241178463e-13 3.123021516281663314e-14
3.804970266817034826e+03 4.064469900547456836e-13 3.148599428027410264e-14
3.805537364743750913e+03 3.982363585000675251e-13 3.111311392682038460e-14
3.806104462670467001e+03 4.004234707845443271e-13 3.114971534577667309e-14
3.806671560597183998e+03 3.939049471552745762e-13 3.085201508850004493e-14
3.807238658523900995e+03 4.005134129332085604e-13 3.106321303291781937e-14
3.807805756450617082e+03 4.009064107156139537e-13 3.104500395910068068e-14
3.808372854377333169e+03 3.992236298495510276e-13 3.091630547508194301e-14
3.808939952304051076e+03 3.966386739589140926e-13 3.078032531729249114e-14
3.809507050230768073e+03 3.976252034938083016e-13 3.076322328489895241e-14
3.810074148157485070e+03 3.999171594152727526e-13 3.080179182175763376e-14
3.810641246084201157e+03 3.892207372952080266e-13 3.034427454063595788e-14
3.811208344010917244e+03 4.007233926464753016e-13 3.074264151061869677e-14
3.811775441937633332e+03 3.986082869820066927e-13 3.062192089284335078e-14
3.812342539864350329e+03 3.974812094084359692e-13 3.052963636253860438e-14
3.812909637791067325e+03 3.943464303859427939e-13 3.037808257043403947e-14
3.813476735717783413e+03 3.987099327124761087e-13 3.050843691162285704e-14
3.814043833644498591e+03 3.988673140420147694e-13 3.043835958578601975e-14
3.814610931571215588e+03 4.008156383095355824e-13 3.047242278607468745e-14
3.815178029497932584e+03 3.964915043285514962e-13 3.026247547845999626e-14
3.815745127424651400e+03 4.001947268421692263e-13 3.036726959666961877e-14
3.816312225351368397e+03 3.957946450466042749e-13 3.014039528149490690e-14
3.816879323278082666e+03 4.001670240922150690e-13 3.025697831039801973e-14
3.817446421204799663e+03 3.989079368014234903e-13 3.018269001878432963e-14
3.818013519131516659e+03 3.996202494712953851e-13 3.015490473586734715e-14
