#wavelength f_lam e_lam telcor
6545.8999999992475 5.373265835203027e-14 6.286845648634123e-17 1.0
6546.599999999247 5.383170372757456e-14 5.0565046505168633e-17 1.0
6547.299999999247 5.392627059052493e-14 6.055245502845443e-17 1.0
6547.999999999247 5.4041178388509754e-14 7.147345490913602e-17 1.0
6548.699999999247 5.417246916940875e-14 6.002329329001502e-17 1.0
6549.399999999247 5.428699950671136e-14 5.070627540732925e-17 1.0
6550.099999999246 5.440674399423883e-14 6.368192500558163e-17 1.0
6550.799999999246 5.4570717079615186e-14 7.17587675912874e-17 1.0
6551.499999999246 5.471219855274593e-14 5.771078955455129e-17 1.0
6552.199999999246 5.4844925864513455e-14 5.154996741739096e-17 1.0
6552.899999999246 5.4989221056548966e-14 6.731540989496934e-17 1.0
6553.5999999992455 5.525578993743154e-14 7.219250874209192e-17 1.0
6554.299999999245 5.55156690013522e-14 5.576996159475555e-17 1.0
6554.999999999245 5.577283246228587e-14 5.2919268495323043e-17 1.0
6555.699999999245 5.604476479580405e-14 7.118541656824605e-17 1.0
6556.399999999245 5.648395542745836e-14 7.257104691657231e-17 1.0
6557.099999999245 5.6807302439899896e-14 5.4216968452949385e-17 1.0
6557.799999999244 5.714243842655489e-14 5.4817835280859884e-17 1.0
6558.499999999244 5.751770101718555e-14 7.29968298432808e-17 1.0
6559.199999999244 5.813788560995556e-14 7.088639493469843e-17 1.0
6559.899999999244 5.860416524738759e-14 5.3369198084642716e-17 1.0
6560.599999999244 5.907475760640067e-14 5.747625878709936e-17 1.0
6561.2999999992435 5.961096069044258e-14 7.388185188614514e-17 1.0
6561.999999999243 6.018086818377229e-14 6.817977753620457e-17 1.0
6562.699999999243 6.04711355008271e-14 5.297167620991663e-17 1.0
6563.399999999243 6.069551603024728e-14 6.051841089510616e-17 1.0
6564.099999999243 6.084359880405557e-14 7.458387900012049e-17 1.0
6564.799999999243 6.082958691480417e-14 6.547936496294403e-17 1.0
6565.499999999242 6.073788856935255e-14 5.297257072378361e-17 1.0
6566.199999999242 6.060215677702941e-14 6.382938937916811e-17 1.0
6566.899999999242 6.034914505275112e-14 7.503369812309008e-17 1.0
6567.599999999242 6.00319043919028e-14 6.260790297978264e-17 1.0
6568.299999999242 5.975994542308803e-14 5.3060357315353254e-17 1.0
6568.9999999992415 5.94807808785618e-14 6.673419622557213e-17 1.0
6569.699999999241 5.910390729681962e-14 7.427229611012921e-17 1.0
6570.399999999241 5.880627194570014e-14 5.898311152035351e-17 1.0
6571.099999999241 5.856705849452684e-14 5.279458478987839e-17 1.0
6571.799999999241 5.833829071270636e-14 6.873970265112465e-17 1.0
6572.499999999241 5.801480453995642e-14 7.269759425710859e-17 1.0
6573.19999999924 5.775745715739029e-14 5.558679353526905e-17 1.0
6573.89999999924 5.751871895036109e-14 5.294584668307852e-17 1.0
6574.59999999924 5.727845173912809e-14 7.107268367311854e-17 1.0
6575.29999999924 5.692859510853663e-14 7.169473820810593e-17 1.0
6575.99999999924 5.671714721673594e-14 5.316517046958012e-17 1.0
6576.6999999992395 5.6516546073031896e-14 5.398431802750011e-17 1.0
6577.399999999239 5.630981363675466e-14 7.126038196226237e-17 1.0
6578.099999999239 5.601127865943467e-14 6.83014276226635e-17 1.0
6578.799999999239 5.578798583898584e-14 5.124543429942788e-17 1.0
6579.499999999239 5.555703340356584e-14 5.534075055881672e-17 1.0
6580.199999999239 5.5281966354860475e-14 7.029251658717993e-17 1.0
6580.899999999238 5.493878615201601e-14 6.401564089128122e-17 1.0
6581.599999999238 5.470438454283742e-14 4.969449738309558e-17 1.0
6582.299999999238 5.447776549431319e-14 5.691849007799021e-17 1.0
6582.999999999238 5.4212198086048984e-14 6.939001624539807e-17 1.0
6583.699999999238 5.3943151112025414e-14 6.025436897717233e-17 1.0
6584.3999999992375 5.374385238064029e-14 4.8830718806201036e-17 1.0
6585.099999999237 5.354454624352908e-14 5.89813116228919e-17 1.0
6585.799999999237 5.3289518639543165e-14 6.876568912393655e-17 1.0
6586.499999999237 5.304969076873496e-14 5.706152884651131e-17 1.0
6587.199999999237 5.287066764161075e-14 4.866774519477482e-17 1.0
6587.899999999237 5.270505299598006e-14 6.155156392164155e-17 1.0
6588.599999999236 5.251911272457973e-14 6.8471874721392e-17 1.0
6589.299999999236 5.2421391590429787e-14 5.443664582027077e-17 1.0
6589.999999999236 5.236732185995545e-14 4.914172631568249e-17 1.0
6590.699999999236 5.2332868718760564e-14 6.444328436768644e-17 1.0
6591.399999999236 5.231675477035133e-14 6.811468261648964e-17 1.0
6592.0999999992355 5.22973766561305e-14 5.2039990664567764e-17 1.0
6592.799999999235 5.226214030656254e-14 4.993842747692363e-17 1.0
6593.499999999235 5.221170453347397e-14 6.731533617915615e-17 1.0
6594.199999999235 5.208300965795397e-14 6.764767688582359e-17 1.0
6594.899999999235 5.197818325902351e-14 5.005366696919364e-17 1.0
6595.599999999235 5.1873412516136476e-14 5.117553680370166e-17 1.0
6596.299999999234 5.175936408916723e-14 6.738493719823374e-17 1.0
6596.999999999234 5.1609115659043975e-14 6.436887381763419e-17 1.0
6597.699999999234 5.1513225060976366e-14 4.852949358773655e-17 1.0
6598.399999999234 5.14210334318109e-14 5.2790883723811376e-17 1.0
6599.099999999234 5.132042426383906e-14 6.695224942739196e-17 1.0
6599.7999999992335 5.121398725057535e-14 6.084356644579026e-17 1.0
6600.499999999233 5.114812352424306e-14 4.750509267809531e-17 1.0
6601.199999999233 5.1083436327494653e-14 5.4790685168081076e-17 1.0
6601.899999999233 5.100786149732422e-14 6.666615740101882e-17 1.0
6602.599999999233 5.093107794218621e-14 5.77506281452745e-17 1.0
6603.299999999233 5.086821521939747e-14 4.707841235618111e-17 1.0
6603.999999999232 5.0804224404622414e-14 5.720819477771063e-17 1.0
6604.699999999232 5.0718914864527816e-14 6.645171018950947e-17 1.0
6605.399999999232 5.0648865064657974e-14 5.490537826708132e-17 1.0
6606.099999999232 5.060015374792134e-14 4.708245560843886e-17 1.0
6606.799999999232 5.055357558687728e-14 5.977735362070664e-17 1.0
6607.4999999992315 5.049551677509547e-14 6.612006763767217e-17 1.0
6608.199999999231 5.043404574530659e-14 5.231251367399606e-17 1.0
6608.899999999231 5.037279780156345e-14 4.7503599178360304e-17 1.0
6609.599999999231 5.030260805863371e-14 6.247710290352184e-17 1.0
6610.299999999231 5.019103350785376e-14 6.569158398868315e-17 1.0
