# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 21ulv
# CHANNEL = B+R
# EXPNUM = 21_214_009
# MJD-OBS = 59428.270110
# DATE-OBS = 2021-08-02T06:29:55
# EXPTIME = 2700.0s
# AIRMASS = 1.22
# RA = 14:15:42.24
# DEC = 26:37:45.04
# wl fl err
# [A] [erg/s/cm2/A]
4416.860000 3.690076e-16 1.282358e-17
4419.860000 3.513987e-16 1.295541e-17
4422.860000 3.642896e-16 1.162034e-17
4425.860000 3.595160e-16 1.140814e-17
4428.860000 3.459160e-16 1.299432e-17
4431.860000 3.657095e-16 1.310096e-17
4434.860000 3.716898e-16 1.148602e-17
4437.860000 3.589979e-16 1.155837e-17
4440.860000 3.754021e-16 1.297289e-17
4443.860000 3.685677e-16 1.273833e-17
4446.860000 3.577497e-16 1.131966e-17
4449.860000 3.593609e-16 1.173393e-17
4452.860000 3.776901e-16 1.293266e-17
4455.860000 3.560547e-16 1.239921e-17
4458.860000 3.618365e-16 1.116420e-17
4461.860000 3.615721e-16 1.183965e-17
4464.860000 3.729953e-16 1.278174e-17
4467.860000 3.804662e-16 1.201962e-17
4470.860000 3.709553e-16 1.105816e-17
4473.860000 3.795886e-16 1.217016e-17
4476.860000 3.915874e-16 1.291323e-17
4479.860000 3.791167e-16 1.181631e-17
4482.860000 3.656517e-16 1.111416e-17
4485.860000 3.660165e-16 1.235471e-17
4488.860000 3.665803e-16 1.269371e-17
4491.860000 3.684076e-16 1.136748e-17
4494.860000 3.611355e-16 1.102369e-17
4497.860000 3.567512e-16 1.267292e-17
4500.860000 3.512315e-16 1.275107e-17
4503.860000 3.418273e-16 1.113888e-17
4506.860000 3.395200e-16 1.125997e-17
4509.860000 3.350044e-16 1.272380e-17
4512.860000 3.295806e-16 1.245438e-17
4515.860000 3.591018e-16 1.098809e-17
4518.860000 3.491605e-16 1.128502e-17
4521.860000 3.307901e-16 1.224415e-17
4524.860000 3.368832e-16 1.187494e-17
4527.860000 3.398185e-16 1.077373e-17
4530.860000 3.327168e-16 1.148486e-17
4533.860000 3.251306e-16 1.229026e-17
4536.860000 3.461576e-16 1.164434e-17
4539.860000 3.586150e-16 1.084637e-17
4542.860000 3.441813e-16 1.165534e-17
4545.860000 3.161925e-16 1.206118e-17
4548.860000 3.378947e-16 1.125714e-17
4551.860000 3.324623e-16 1.066060e-17
4554.860000 3.411814e-16 1.181106e-17
4557.860000 3.387734e-16 1.216670e-17
4560.860000 3.316230e-16 1.096492e-17
4563.860000 3.185862e-16 1.064864e-17
4566.860000 3.360521e-16 1.215432e-17
4569.860000 3.268801e-16 1.220781e-17
4572.860000 3.049415e-16 1.069851e-17
4575.860000 3.008818e-16 1.059935e-17
4578.860000 3.108415e-16 1.200950e-17
4581.860000 3.483307e-16 1.222877e-17
4584.860000 3.203853e-16 1.065011e-17
4587.860000 3.007727e-16 1.083880e-17
4590.860000 3.208304e-16 1.204680e-17
4593.860000 3.301475e-16 1.173277e-17
4596.860000 3.392509e-16 1.054168e-17
4599.860000 3.285937e-16 1.091611e-17
4602.860000 3.304126e-16 1.183549e-17
4605.860000 3.463734e-16 1.140131e-17
4608.860000 3.144371e-16 1.032619e-17
4611.860000 3.165270e-16 1.120906e-17
4614.860000 3.362726e-16 1.194335e-17
4617.860000 3.354149e-16 1.105144e-17
4620.860000 3.297261e-16 1.035002e-17
4623.860000 3.073014e-16 1.126518e-17
4626.860000 2.992699e-16 1.160316e-17
4629.860000 3.136714e-16 1.063545e-17
4632.860000 3.052183e-16 1.025080e-17
4635.860000 3.132378e-16 1.162104e-17
4638.860000 3.088953e-16 1.175171e-17
4641.860000 3.170049e-16 1.046116e-17
4644.860000 3.196524e-16 1.037258e-17
4647.860000 3.307503e-16 1.191237e-17
4650.860000 3.152965e-16 1.177977e-17
4653.860000 3.143541e-16 1.029038e-17
