# INSTRUMENT_ID: 71
# OBS_GROUP_ID: 65
# UNIT_ID: None
# RA: 213.9260333333333
# DEC: 26.629177777777777
# OBS_DATE: 2010-08-22 00:00:00+00:00
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 88212
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
4425.895,1.84293e-15,-9.90000e+01
4429.278,1.53683e-15,-9.90000e+01
4432.661,1.57928e-15,-9.90000e+01
4436.044,1.65999e-15,-9.90000e+01
4439.427,1.72478e-15,-9.90000e+01
4442.811,1.68662e-15,-9.90000e+01
4446.194,1.58142e-15,-9.90000e+01
4449.577,1.64583e-15,-9.90000e+01
4452.960,1.65874e-15,-9.90000e+01
4456.344,1.77295e-15,-9.90000e+01
4459.727,1.90534e-15,-9.90000e+01
4463.110,1.79545e-15,-9.90000e+01
4466.493,1.80022e-15,-9.90000e+01
4469.876,1.85071e-15,-9.90000e+01
4473.260,1.53233e-15,-9.90000e+01
4476.643,1.36684e-15,-9.90000e+01
4480.026,1.52779e-15,-9.90000e+01
4483.409,1.66142e-15,-9.90000e+01
4486.792,1.78334e-15,-9.90000e+01
4490.176,1.69837e-15,-9.90000e+01
4493.559,1.55973e-15,-9.90000e+01
4496.942,1.65504e-15,-9.90000e+01
4500.325,1.77695e-15,-9.90000e+01
4503.709,1.71346e-15,-9.90000e+01
4507.092,1.71821e-15,-9.90000e+01
4510.475,1.57325e-15,-9.90000e+01
4513.858,1.63721e-15,-9.90000e+01
4517.241,1.83688e-15,-9.90000e+01
4520.625,1.62699e-15,-9.90000e+01
4524.008,1.53595e-15,-9.90000e+01
4527.391,1.42708e-15,-9.90000e+01
4530.774,1.48096e-15,-9.90000e+01
4534.157,1.56893e-15,-9.90000e+01
4537.541,1.49299e-15,-9.90000e+01
4540.924,1.53859e-15,-9.90000e+01
4544.307,1.57241e-15,-9.90000e+01
4547.690,1.61386e-15,-9.90000e+01
4551.074,1.48824e-15,-9.90000e+01
4554.457,1.46885e-15,-9.90000e+01
4557.840,1.40774e-15,-9.90000e+01
4561.223,1.56370e-15,-9.90000e+01
4564.606,1.70502e-15,-9.90000e+01
4567.990,1.57453e-15,-9.90000e+01
4571.373,1.60016e-15,-9.90000e+01
4574.756,1.51948e-15,-9.90000e+01
4578.139,1.38796e-15,-9.90000e+01
4581.522,1.49621e-15,-9.90000e+01
4584.906,1.47659e-15,-9.90000e+01
4588.289,1.36539e-15,-9.90000e+01
4591.672,1.46901e-15,-9.90000e+01
4595.055,1.69137e-15,-9.90000e+01
4598.439,1.58163e-15,-9.90000e+01
4601.822,1.49157e-15,-9.90000e+01
4605.205,1.38830e-15,-9.90000e+01
4608.588,1.37699e-15,-9.90000e+01
4611.971,1.37914e-15,-9.90000e+01
4615.355,1.53802e-15,-9.90000e+01
4618.738,1.63349e-15,-9.90000e+01
4622.121,1.27003e-15,-9.90000e+01
4625.504,1.40642e-15,-9.90000e+01
4628.887,1.57816e-15,-9.90000e+01
4632.271,1.57483e-15,-9.90000e+01
4635.654,1.45042e-15,-9.90000e+01
4639.037,1.54224e-15,-9.90000e+01
4642.420,1.66249e-15,-9.90000e+01
4645.803,1.73012e-15,-9.90000e+01
4649.187,1.66108e-15,-9.90000e+01
4652.570,1.72679e-15,-9.90000e+01
4655.953,1.70888e-15,-9.90000e+01
4659.336,1.65014e-15,-9.90000e+01
4662.720,1.78275e-15,-9.90000e+01
4666.103,1.73546e-15,-9.90000e+01
4669.486,1.77714e-15,-9.90000e+01
4672.869,1.82745e-15,-9.90000e+01
4676.252,1.61112e-15,-9.90000e+01
4679.636,1.62609e-15,-9.90000e+01
4683.019,1.76440e-15,-9.90000e+01
4686.402,1.52658e-15,-9.90000e+01
4689.785,1.57488e-15,-9.90000e+01
4693.168,1.57957e-15,-9.90000e+01
4696.552,1.61062e-15,-9.90000e+01
4699.935,1.76683e-15,-9.90000e+01
4703.318,1.55754e-15,-9.90000e+01
4706.701,1.53564e-15,-9.90000e+01
4710.085,1.51990e-15,-9.90000e+01
4713.468,1.58952e-15,-9.90000e+01
4716.851,1.54863e-15,-9.90000e+01
4720.234,1.64848e-15,-9.90000e+01
4723.617,1.68441e-15,-9.90000e+01
4727.001,1.80420e-15,-9.90000e+01
4730.384,1.69981e-15,-9.90000e+01
4733.767,1.44991e-15,-9.90000e+01
4737.150,1.37507e-15,-9.90000e+01
4740.533,1.68340e-15,-9.90000e+01
4743.917,1.73006e-15,-9.90000e+01
4747.300,1.49153e-15,-9.90000e+01
4750.683,1.70903e-15,-9.90000e+01
4754.066,1.66347e-15,-9.90000e+01
4757.450,1.57868e-15,-9.90000e+01
4760.833,1.82132e-15,-9.90000e+01
4764.216,1.68559e-15,-9.90000e+01
4767.599,1.58895e-15,-9.90000e+01
4770.982,1.64821e-15,-9.90000e+01
4774.366,1.58925e-15,-9.90000e+01
4777.749,1.63398e-15,-9.90000e+01
4781.132,1.60195e-15,-9.90000e+01
4784.515,1.49420e-15,-9.90000e+01
4787.898,1.39528e-15,-9.90000e+01
4791.282,1.68709e-15,-9.90000e+01
4794.665,1.68516e-15,-9.90000e+01
4798.048,1.55572e-15,-9.90000e+01
4801.431,1.42532e-15,-9.90000e+01
4804.815,1.38721e-15,-9.90000e+01
4808.198,1.59796e-15,-9.90000e+01
4811.581,1.53257e-15,-9.90000e+01
4814.964,1.47405e-15,-9.90000e+01
4818.347,1.37980e-15,-9.90000e+01
4821.731,1.33789e-15,-9.90000e+01
4825.114,1.55947e-15,-9.90000e+01
4828.497,1.51957e-15,-9.90000e+01
4831.880,1.31185e-15,-9.90000e+01
4835.263,1.31771e-15,-9.90000e+01
4838.647,1.42930e-15,-9.90000e+01
4842.030,1.48486e-15,-9.90000e+01
4845.413,1.43452e-15,-9.90000e+01
4848.796,1.45305e-15,-9.90000e+01
4852.180,1.36772e-15,-9.90000e+01
4855.563,1.27558e-15,-9.90000e+01
4858.946,1.37792e-15,-9.90000e+01
4862.329,1.48048e-15,-9.90000e+01
4865.712,1.53032e-15,-9.90000e+01
4869.096,1.56697e-15,-9.90000e+01
4872.479,1.47848e-15,-9.90000e+01
4875.862,1.42159e-15,-9.90000e+01
4879.245,1.37668e-15,-9.90000e+01
4882.628,1.33295e-15,-9.90000e+01
4886.012,1.32310e-15,-9.90000e+01
4889.395,1.41392e-15,-9.90000e+01
4892.778,1.35306e-15,-9.90000e+01
4896.161,1.14552e-15,-9.90000e+01
4899.545,1.13012e-15,-9.90000e+01
4902.928,1.39234e-15,-9.90000e+01
4906.311,1.32660e-15,-9.90000e+01
4909.694,1.25146e-15,-9.90000e+01
4913.077,1.29865e-15,-9.90000e+01
4916.461,1.38128e-15,-9.90000e+01
4919.844,1.44190e-15,-9.90000e+01
4923.227,1.45926e-15,-9.90000e+01
4926.610,1.51508e-15,-9.90000e+01
4929.993,1.58207e-15,-9.90000e+01
4933.377,1.52880e-15,-9.90000e+01
4936.760,1.42352e-15,-9.90000e+01
4940.143,1.44778e-15,-9.90000e+01
4943.526,1.49832e-15,-9.90000e+01
4946.910,1.45926e-15,-9.90000e+01
4950.293,1.49870e-15,-9.90000e+01
4953.676,1.48600e-15,-9.90000e+01
4957.059,1.43949e-15,-9.90000e+01
4960.442,1.34350e-15,-9.90000e+01
4963.826,1.48026e-15,-9.90000e+01
4967.209,1.53891e-15,-9.90000e+01
4970.592,1.46074e-15,-9.90000e+01
4973.975,1.54537e-15,-9.90000e+01
4977.358,1.50741e-15,-9.90000e+01
4980.742,1.58413e-15,-9.90000e+01
4984.125,1.57583e-15,-9.90000e+01
4987.508,1.59858e-15,-9.90000e+01
4990.891,1.71259e-15,-9.90000e+01
4994.275,1.52721e-15,-9.90000e+01
4997.658,1.53269e-15,-9.90000e+01
5001.041,1.49307e-15,-9.90000e+01
5004.424,1.45537e-15,-9.90000e+01
5007.807,1.50012e-15,-9.90000e+01
5011.191,1.50399e-15,-9.90000e+01
