# REDSHIFT_QUALITY: None
# UNIT_ID: None
# REDSHIFT_ERR: None
# TRANSIENT_ID: 58684
# SNID_PLOT_FILE: None
# RLAP: None
# SPEC_PLOT_FILE: None
# DATA_QUALITY_ID: None
# DEC: 42.7773888888889
# OBS_DATE: 2020-12-11 15:32:02+00:00
# SPEC_PHASE: None
# OBS_GROUP_ID: 55
# REDSHIFT: None
# INSTRUMENT_ID: 7
# FOLLOWUP_ID: None
# RA: 220.0415
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None

#wavelength flux fluxerr
3504.346 1.11390e-01 1.11917e-02
3505.530 1.00205e-01 1.09551e-02
3506.714 9.33578e-02 1.06383e-02
3507.898 1.10070e-01 8.91415e-03
3509.082 9.41492e-02 1.01283e-02
3510.266 1.09487e-01 1.27834e-02
3511.450 1.13568e-01 1.10967e-02
3512.634 1.18538e-01 1.24079e-02
3513.818 1.23002e-01 1.25718e-02
3515.002 1.02709e-01 1.17541e-02
3516.186 1.20095e-01 1.25062e-02
3517.370 1.37849e-01 1.27127e-02
3518.554 1.52947e-01 1.24834e-02
3519.738 6.47460e-02 1.10284e-02
3520.922 1.04218e-01 1.04190e-02
3522.106 1.53194e-01 1.16159e-02
3523.290 1.41820e-01 1.14769e-02
3524.474 1.24204e-01 1.18461e-02
3525.657 1.31943e-01 1.24164e-02
3526.841 1.30823e-01 1.11295e-02
3528.025 1.26663e-01 1.03738e-02
3529.209 1.43874e-01 1.20212e-02
3530.393 1.45204e-01 1.34256e-02
3531.577 1.19778e-01 1.32561e-02
3532.761 1.91098e-01 1.35936e-02
3533.945 1.89794e-01 1.28768e-02
3535.129 1.61459e-01 1.29212e-02
3536.313 1.37920e-01 1.19578e-02
3537.497 1.46682e-01 1.23027e-02
3538.681 1.30456e-01 1.17829e-02
3539.865 1.59324e-01 1.20371e-02
3541.049 1.79434e-01 1.23963e-02
3542.233 1.56588e-01 1.27615e-02
3543.417 1.64531e-01 1.24793e-02
3544.601 1.54098e-01 1.38021e-02
3545.785 1.72717e-01 1.27120e-02
3546.969 1.93237e-01 1.40183e-02
3548.153 1.85507e-01 1.38162e-02
3549.337 1.66076e-01 1.41582e-02
3550.520 1.80504e-01 1.48256e-02
3551.704 1.54259e-01 1.43798e-02
3552.888 1.81004e-01 1.39502e-02
3554.072 1.65484e-01 1.29271e-02
3555.256 1.49080e-01 1.25372e-02
3556.440 1.79753e-01 1.27226e-02
3557.624 1.72946e-01 1.25480e-02
3558.808 1.36647e-01 1.26690e-02
3559.992 1.44233e-01 1.17987e-02
3561.176 1.33495e-01 1.08826e-02
3562.360 1.25469e-01 1.18085e-02
3563.544 9.14112e-02 1.10865e-02
3564.728 1.15777e-01 1.08065e-02
3565.912 1.35726e-01 1.24102e-02
3567.096 1.02579e-01 1.27405e-02
3568.280 1.40828e-01 1.29082e-02
3569.464 1.43236e-01 1.25285e-02
3570.648 1.46281e-01 1.20968e-02
3571.832 1.14518e-01 1.06955e-02
3573.016 1.07637e-01 8.67527e-03
3574.200 1.12727e-01 1.08348e-02
3575.383 1.01647e-01 1.05953e-02
3576.567 1.16025e-01 1.00365e-02
3577.751 9.66694e-02 9.08885e-03
3578.935 9.36380e-02 9.82727e-03
3580.119 8.10549e-02 9.70564e-03
3581.303 1.08165e-01 1.05701e-02
3582.487 7.51234e-02 9.84154e-03
3583.671 7.92894e-02 1.03230e-02
3584.855 1.69961e-01 1.18533e-02
3586.039 1.33359e-01 1.07643e-02
3587.223 1.35276e-01 1.21379e-02
3588.407 1.21894e-01 1.12848e-02
3589.591 1.52229e-01 1.21121e-02
3590.775 1.49339e-01 1.15031e-02
3591.959 1.61668e-01 1.06875e-02
3593.143 1.46031e-01 1.12826e-02
3594.327 1.27181e-01 1.01915e-02
3595.511 1.29127e-01 9.85220e-03
3596.695 1.30389e-01 9.69644e-03
3597.879 1.27636e-01 1.02622e-02
3599.063 1.25901e-01 1.07879e-02
3600.246 1.27860e-01 1.09633e-02
3601.430 1.38811e-01 1.01402e-02
3602.614 1.44446e-01 1.12111e-02
3603.798 1.41881e-01 1.13155e-02
3604.982 1.44870e-01 1.16250e-02
3606.166 1.57846e-01 1.17814e-02
3607.350 1.43676e-01 1.14261e-02
3608.534 1.49120e-01 1.21994e-02
3609.718 1.49448e-01 1.19992e-02
3610.902 1.55931e-01 1.10960e-02
3612.086 1.41002e-01 1.03793e-02
3613.270 1.73057e-01 1.09310e-02
3614.454 1.33992e-01 9.73818e-03
3615.638 1.08797e-01 9.59018e-03
3616.822 1.37785e-01 1.00973e-02
3618.006 1.23237e-01 1.01727e-02
3619.190 1.47745e-01 1.10749e-02
3620.374 1.58367e-01 1.06371e-02
3621.558 1.53237e-01 1.11392e-02
3622.742 1.40324e-01 1.10968e-02
3623.926 1.55327e-01 1.09890e-02
3625.109 1.62426e-01 1.20048e-02
3626.293 1.75295e-01 1.25055e-02
3627.477 1.58231e-01 1.23733e-02
3628.661 1.36837e-01 1.14935e-02
3629.845 1.07751e-01 1.03048e-02
3631.029 1.63650e-01 1.17605e-02
3632.213 1.49734e-01 1.15018e-02
3633.397 1.68144e-01 1.12160e-02
3634.581 1.62234e-01 1.15845e-02
3635.765 1.75481e-01 1.08488e-02
3636.949 1.67366e-01 1.05085e-02
3638.133 1.56837e-01 1.03460e-02
3639.317 1.66295e-01 1.09814e-02
3640.501 1.82997e-01 1.20510e-02
3641.685 1.72906e-01 1.17935e-02
3642.869 1.80575e-01 1.16532e-02
3644.053 1.83350e-01 1.22581e-02
3645.237 1.91905e-01 1.29971e-02
3646.421 1.49758e-01 1.21596e-02
3647.605 1.62188e-01 1.13729e-02
3648.789 1.72224e-01 1.16082e-02
3649.973 1.72564e-01 1.09620e-02
3651.156 2.00733e-01 1.12765e-02
3652.340 1.98459e-01 1.13496e-02
3653.524 2.22625e-01 1.21460e-02
3654.708 2.16853e-01 1.16829e-02
3655.892 1.96943e-01 1.14744e-02
3657.076 2.22755e-01 1.16891e-02
3658.260 2.41196e-01 1.20407e-02
3659.444 2.16113e-01 1.16978e-02
3660.628 2.20773e-01 1.24169e-02
3661.812 2.06461e-01 1.19124e-02
3662.996 2.35468e-01 1.33878e-02
3664.180 2.30634e-01 1.35667e-02
3665.364 2.12196e-01 1.35001e-02
3666.548 2.00441e-01 1.20030e-02
3667.732 2.26414e-01 1.23258e-02
