#WAVE FLUX ERR BGFLUX
6704.347 7.390802E-16 6.893997E-18 1.1950571E-16
6708.5615 7.198483E-16 6.798572E-18 1.1387515E-16
6712.776 6.749504E-16 6.6323304E-18 1.155171E-16
6716.99 6.6630174E-16 6.5789396E-18 1.1107267E-16
6721.204 6.5184215E-16 6.5391378E-18 1.152936E-16
6725.4185 6.404225E-16 6.4809084E-18 1.1241771E-16
6729.633 6.0791973E-16 6.3403634E-18 1.1026092E-16
6733.8467 5.9349635E-16 6.286938E-18 1.1201128E-16
6738.061 5.7149927E-16 6.1955067E-18 1.1212671E-16
6742.2754 5.4632206E-16 6.1003855E-18 1.1487699E-16
6746.4897 5.351486E-16 6.0557657E-18 1.1614611E-16
6750.7036 5.1532076E-16 5.946747E-18 1.1028807E-16
6754.918 5.016541E-16 5.900529E-18 1.136174E-16
6759.1323 4.899996E-16 5.830766E-18 1.0991194E-16
6763.346 4.646157E-16 5.7095463E-18 1.08109945E-16
6767.5605 4.5162066E-16 5.665909E-18 1.1160335E-16
6771.775 4.4413776E-16 5.6157594E-18 1.08179276E-16
6775.989 4.3348248E-16 5.5632735E-18 1.07817494E-16
6780.203 4.2649035E-16 5.5291813E-18 1.0786797E-16
6784.4175 4.2600942E-16 5.556125E-18 1.1462765E-16
6788.632 4.2123756E-16 5.538775E-18 1.1609663E-16
6792.8457 4.153677E-16 5.4857696E-18 1.105674E-16
6797.06 4.1026644E-16 5.455318E-18 1.09824426E-16
6801.2744 3.8895345E-16 5.3594632E-18 1.1111332E-16
6805.4883 3.728788E-16 5.280484E-18 1.1139497E-16
6809.7026 3.6551902E-16 5.2559586E-18 1.135189E-16
6813.917 3.343016E-16 5.0798315E-18 1.09364586E-16
6818.1313 3.2779294E-16 5.2316692E-18 1.3349741E-16
6822.345 3.1461832E-16 5.213737E-18 1.575373E-16
6826.5596 3.061679E-16 5.215708E-18 1.668833E-16
6830.774 2.878138E-16 5.1047805E-18 1.631143E-16
6834.988 3.0047197E-16 5.0326016E-18 1.3550382E-16
6839.202 2.8085582E-16 4.8390227E-18 1.1750351E-16
6843.4165 2.7849152E-16 4.8068094E-18 1.1450473E-16
6847.631 2.6979206E-16 4.742506E-18 1.1199335E-16
6851.8447 2.6567485E-16 4.8145216E-18 1.3370927E-16
6856.059 2.573937E-16 4.867925E-18 1.5835351E-16
6860.2734 2.4613277E-16 4.7282227E-18 1.5191917E-16
6864.4873 2.2322553E-16 4.471544E-18 1.3668614E-16
6868.7017 2.2677423E-16 4.3013317E-18 1.1163884E-16
6872.916 2.34542E-16 4.2533383E-18 9.971781E-17
6877.13 2.455382E-16 4.3594424E-18 1.064033E-16
6881.344 2.2610068E-16 4.364676E-18 1.2026637E-16
6885.5586 2.3629326E-16 4.3862443E-18 1.1163696E-16
6889.773 2.2995817E-16 4.3722707E-18 1.1310704E-16
6893.987 2.2488508E-16 4.344083E-18 1.113103E-16
6898.201 2.2987664E-16 4.374188E-18 1.1054941E-16
6902.4155 2.2189656E-16 4.4019674E-18 1.1968243E-16
6906.6294 2.1920412E-16 4.420292E-18 1.2219522E-16
6910.8438 2.1516383E-16 4.4634935E-18 1.3166665E-16
6915.058 2.2343853E-16 4.5375224E-18 1.3511236E-16
6919.2725 2.2072863E-16 4.500304E-18 1.2897751E-16
6923.4863 2.1164811E-16 4.4493135E-18 1.2778944E-16
6927.7007 2.1248064E-16 4.4190457E-18 1.2074762E-16
6931.915 2.1706017E-16 4.409098E-18 1.1426551E-16
6936.129 2.1025033E-16 4.445888E-18 1.2791635E-16
6940.3433 2.0197658E-16 4.475859E-18 1.4179467E-16
6944.5576 1.9513569E-16 4.452255E-18 1.4396431E-16
6948.772 2.0839513E-16 4.4983604E-18 1.3868639E-16
6952.986 2.0918692E-16 4.395841E-18 1.1841605E-16
6957.2 2.0515685E-16 4.3515817E-18 1.1413659E-16
6961.4146 2.0275226E-16 4.35585E-18 1.1629204E-16
6965.6284 2.0519476E-16 4.411054E-18 1.2267822E-16
6969.843 1.9248775E-16 4.4014413E-18 1.3337828E-16
6974.057 1.927486E-16 4.402611E-18 1.3303728E-16
6978.2715 2.0081353E-16 4.4149934E-18 1.2769065E-16
6982.4854 1.9366585E-16 4.296599E-18 1.1419447E-16
6986.6997 1.9000328E-16 4.2352003E-18 1.0841687E-16
6990.914 1.9896604E-16 4.300223E-18 1.1080462E-16
6995.128 1.8922494E-16 4.250943E-18 1.1210485E-16
6999.3423 2.024636E-16 4.3202614E-18 1.1123336E-16
7003.5566 1.9514228E-16 4.2858693E-18 1.1208612E-16
7007.7705 1.8683584E-16 4.23862E-18 1.1228005E-16
7011.985 1.9079593E-16 4.229352E-18 1.0685263E-16
7016.199 1.9232706E-16 4.2216515E-18 1.0362731E-16
7020.4136 1.9008728E-16 4.2115483E-18 1.0418701E-16
7024.6274 1.8245162E-16 4.1991853E-18 1.09223244E-16
7028.842 1.88258E-16 4.2123263E-18 1.05514696E-16
7033.056 1.8273652E-16 4.2034353E-18 1.0948428E-16
7037.27 1.8724554E-16 4.2764683E-18 1.1699603E-16
7041.4844 1.87892E-16 4.2834617E-18 1.1741994E-16
7045.6987 1.8725977E-16 4.3134346E-18 1.2314446E-16
7049.913 1.9345716E-16 4.304047E-18 1.1541924E-16
7054.127 1.9042782E-16 4.263691E-18 1.1137022E-16
7058.3413 1.8968754E-16 4.256403E-18 1.1080755E-16
7062.5557 1.9826036E-16 4.2981008E-18 1.0897722E-16
